source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	pathway	annotation
TBXAS1	PTGDR2	na	na	Pavlicev2017	TBXAS1	Small Molecule-Mediated
TBXAS1	PTGER1	na	na	Pavlicev2017	TBXAS1	Small Molecule-Mediated
TBXAS1	TBXA2R	na	na	Pavlicev2017	TBXAS1	Small Molecule-Mediated
TPH1	MTNR1A	na	na	Pavlicev2017	TPH1	Small Molecule-Mediated
TPH1	MTNR1B	na	na	Pavlicev2017	TPH1	Small Molecule-Mediated
AGRP	MC2R	na	na	Pavlicev2017	AGRP	Secreted Signaling
ASIP	MC1R	na	na	Pavlicev2017	ASIP	Secreted Signaling
ASIP	MC2R	na	na	Pavlicev2017	ASIP	Secreted Signaling
ASIP	MC3R	na	na	Pavlicev2017	ASIP	Secreted Signaling
ASIP	MC4R	na	na	Pavlicev2017	ASIP	Secreted Signaling
ASIP	MC5R	na	na	Pavlicev2017	ASIP	Secreted Signaling
C3	C3AR1	na	na	Pavlicev2017	C3	Secreted Signaling
C3	C5AR1	na	na	Pavlicev2017	C3	Secreted Signaling
C5	C3AR1	na	na	Pavlicev2017	C5	Secreted Signaling
C5	C5AR1	na	na	Pavlicev2017	C5	Secreted Signaling
C5	C5AR2	na	na	Pavlicev2017	C5	Secreted Signaling
CSH2	GHR	na	na	Pavlicev2017	CSH2	Secreted Signaling
CSH2	PRLR	na	na	Pavlicev2017	CSH2	Secreted Signaling
CTSG	FPR1	na	na	Pavlicev2017	CTSG	Secreted Signaling
DEFB4A	CCR6	na	na	Pavlicev2017	DEFB4A	Secreted Signaling
GH2	PRLR	na	na	Pavlicev2017	GH2	Secreted Signaling
GIP	ADGRB2	na	na	Pavlicev2017	GIP	Secreted Signaling
MMP13	F2R	na	na	Pavlicev2017	MMP13	Secreted Signaling
SST	GPR107	na	na	Pavlicev2017	SST	Secreted Signaling
