"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"HSD3B1_PAQR3","HSD3B1_PAQR3","P4","HSD3B1","PAQR3","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR3"
"HSD3B1_PAQR4","HSD3B1_PAQR4","P4","HSD3B1","PAQR4","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR4"
"HSD3B1_PAQR5","HSD3B1_PAQR5","P4","HSD3B1","PAQR5","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR5"
"HSD3B1_PAQR6","HSD3B1_PAQR6","P4","HSD3B1","PAQR6","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR6"
"HSD3B1_PAQR7","HSD3B1_PAQR7","P4","HSD3B1","PAQR7","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR7"
"HSD3B1_PAQR8","HSD3B1_PAQR8","P4","HSD3B1","PAQR8","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR8"
"HSD3B1_PAQR9","HSD3B1_PAQR9","P4","HSD3B1","PAQR9","","","","","","Small Molecule-Mediated","HSD3B1 - PAQR9"
"HSD3B1_PGR","HSD3B1_PGR","P4","HSD3B1","PGR","","","","","","Small Molecule-Mediated","HSD3B1 - PGR"
"IDH1_OXGR1","IDH1_OXGR1","EICOSANOID","IDH1","OXGR1","","","","","","Small Molecule-Mediated","IDH1 - OXGR1"
"IDH2_OXGR1","IDH2_OXGR1","EICOSANOID","IDH2","OXGR1","","","","","","Small Molecule-Mediated","IDH2 - OXGR1"
"LDHA_HCAR1","LDHA_HCAR1","HCA","LDHA","HCAR1","","","","","","Small Molecule-Mediated","LDHA - HCAR1"
"LTA4H_LTB4R","LTA4H_LTB4R","EICOSANOID","LTA4H","LTB4R","","","","","","Small Molecule-Mediated","LTA4H - LTB4R"
"PNMT_ADRA1A","PNMT_ADRA1A","EPINEPHRINE","PNMT","ADRA1A","","","","","","Small Molecule-Mediated","PNMT - ADRA1A"
"PNMT_ADRA1B","PNMT_ADRA1B","EPINEPHRINE","PNMT","ADRA1B","","","","","","Small Molecule-Mediated","PNMT - ADRA1B"
"PNMT_ADRA1D","PNMT_ADRA1D","EPINEPHRINE","PNMT","ADRA1D","","","","","","Small Molecule-Mediated","PNMT - ADRA1D"
"PNMT_ADRA2A","PNMT_ADRA2A","EPINEPHRINE","PNMT","ADRA2A","","","","","","Small Molecule-Mediated","PNMT - ADRA2A"
"PNMT_ADRA2B","PNMT_ADRA2B","EPINEPHRINE","PNMT","ADRA2B","","","","","","Small Molecule-Mediated","PNMT - ADRA2B"
"PNMT_ADRA2C","PNMT_ADRA2C","EPINEPHRINE","PNMT","ADRA2C","","","","","","Small Molecule-Mediated","PNMT - ADRA2C"
"PNMT_ADRB1","PNMT_ADRB1","EPINEPHRINE","PNMT","ADRB1","","","","","","Small Molecule-Mediated","PNMT - ADRB1"
"PNMT_ADRB2","PNMT_ADRB2","EPINEPHRINE","PNMT","ADRB2","","","","","","Small Molecule-Mediated","PNMT - ADRB2"
"PNMT_ADRB3","PNMT_ADRB3","EPINEPHRINE","PNMT","ADRB3","","","","","","Small Molecule-Mediated","PNMT - ADRB3"
"PTDSS1_ADGRB1","PTDSS1_ADGRB1","EICOSANOID","PTDSS1","ADGRB1","","","","","","Small Molecule-Mediated","PTDSS1 - ADGRB1"
