source_genesymbol	target_genesymbol	source_uniprot	target_uniprot	source_db	source_transmembrane	source_peripheral	source_secreted	source_integrin	source_other	source_other_desc	source_Small_Molecule	target_transmembrane	target_peripheral	target_secreted	target_integrin	target_other	target_other_desc	target_Small_Molecule
CCL21	CCR7	O00585	P32248	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL21	ACKR4	O00585	Q9NPB9	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL3	ACKR2	P10147	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL4	ACKR2	P13236	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL2	ACKR2	P13500	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL5	ACKR2	P13501	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL3L3	ACKR2	P16619	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL11	ACKR2	P51671	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL8	ACKR2	P80075	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL7	ACKR2	P80098	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL14	ACKR2	Q16627	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL13	ACKR2	Q99616	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL28	ACKR2	Q9NRJ3	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL27	ACKR2	Q9Y4X3	O00590	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
CCL22	DPP4	O00626	P27487	CellPhoneDB_v4	False	False	True	False	False		na	True	False	True	False	False		na
CCL22	CCR4	O00626	P51679	CellPhoneDB_v4	False	False	True	False	False		na	True	False	False	False	False		na
